record,split,mu,avAE_bpm
TEST_S01_T01,competition,0.001,12.264249078455109
TEST_S02_T01,competition,0.001,8.48095653227646
TEST_S02_T02,competition,0.01,6.961849134657117
TEST_S03_T02,competition,0.01,15.343191997327304
TEST_S04_T02,competition,0.005,3.7636967821782186
TEST_S05_T02,competition,0.05,4.282699181429139
TEST_S06_T01,competition,0.002,5.74082060842803
TEST_S06_T02,competition,0.02,9.92738358274648
TEST_S07_T02,competition,0.002,4.499822475464877
TEST_S08_T01,competition,0.01,1.1150308007812502
DATA_01_TYPE01,training,0.01,5.563432110547186
DATA_02_TYPE02,training,0.01,2.6601995276219736
DATA_03_TYPE02,training,0.005,2.7225689453125006
DATA_04_TYPE02,training,0.02,4.212819277076199
DATA_05_TYPE02,training,0.001,2.791728617294521
DATA_06_TYPE02,training,0.001,4.999762234375
DATA_07_TYPE02,training,0.001,2.5784633795723084
DATA_08_TYPE02,training,0.01,2.8084548388671875
DATA_09_TYPE02,training,0.001,2.126081753355705
DATA_10_TYPE02,training,0.005,10.09882702128775
DATA_11_TYPE02,training,0.02,2.4238596317744756
DATA_12_TYPE02,training,0.002,2.025012858518836
