mu,record,split,avAE_bpm,sdAE_bpm,avRE_percent,pearson_r
0.001,DATA_01_TYPE01,training,10.486439276874698,13.73992896246386,8.778367665270464,0.8450685200077434
0.001,DATA_02_TYPE02,training,6.486623854277028,8.359355959217531,5.492311511443433,0.9245076246428522
0.001,DATA_03_TYPE02,training,6.083454123883929,8.691335156344937,5.3011024372375495,0.9047571911970724
0.001,DATA_04_TYPE02,training,7.386733422517124,9.358733920861322,6.020882869270759,0.899801437700286
0.001,DATA_05_TYPE02,training,2.791728617294521,3.2110801161234033,2.157830967109865,0.9762135202182728
0.001,DATA_06_TYPE02,training,4.999762234375,11.45020481268687,4.258881824945677,0.8684377699589658
0.001,DATA_07_TYPE02,training,2.5784633795723084,5.37341194159112,2.1960119312587203,0.9568850735869504
0.001,DATA_08_TYPE02,training,3.0802631201171873,3.492327154392907,2.665599687216994,0.974196880168658
0.001,DATA_09_TYPE02,training,2.126081753355705,1.4340501746322365,1.8091471258781044,0.9941999744967496
0.001,DATA_10_TYPE02,training,18.678914175230705,19.137463040998128,11.735577613111284,0.5861882599064652
0.001,DATA_11_TYPE02,training,5.495526453234267,8.271825681806433,3.8689241189708743,0.8796449350159478
0.001,DATA_12_TYPE02,training,3.0627952750428085,4.721677675917624,2.2887715783875464,0.9675799636061928
0.001,TEST_S01_T01,competition,12.264249078455109,12.210015083205016,16.862193573854803,0.3037950004725293
0.001,TEST_S02_T01,competition,8.48095653227646,10.819658003052108,11.344570708159914,0.6493280338223164
0.001,TEST_S02_T02,competition,7.5176946207682285,12.12318999786147,7.438540091828996,0.6488401240449491
0.001,TEST_S03_T02,competition,19.09251775801809,19.936064488778836,11.82480581060934,0.3803505096961023
0.001,TEST_S04_T02,competition,5.493585628094061,4.377164906526717,4.534719853331197,0.847390355594051
0.001,TEST_S05_T02,competition,13.141694479000796,13.828317219816304,9.62946254325908,0.3419171819543989
0.001,TEST_S06_T01,competition,6.789608605587122,9.836275264660124,7.505515985593916,0.7839276199799774
0.001,TEST_S06_T02,competition,16.98671692066461,20.62738900188998,11.351081445633366,-0.0730580245568352
0.001,TEST_S07_T02,competition,5.107338374870869,5.934736827138262,3.981778927762309,0.7809259878093394
0.001,TEST_S08_T01,competition,1.6540353710937508,1.558457879731315,1.925080892488035,0.8244051591154186
0.002,DATA_01_TYPE01,training,7.633879936929936,10.460169770892165,5.889853400745578,0.9061440022352466
0.002,DATA_02_TYPE02,training,4.808519770931736,4.8944241449950825,4.02139455260539,0.9600831855194544
0.002,DATA_03_TYPE02,training,4.524849916294643,7.006382108817812,3.943356542865289,0.9529630954538132
0.002,DATA_04_TYPE02,training,8.593136354880137,11.854077877098634,7.215175637395624,0.8447995419225555
0.002,DATA_05_TYPE02,training,2.858786665239726,3.3688246805556137,2.217370355314807,0.9747118329132076
0.002,DATA_06_TYPE02,training,5.507267609375,12.783019471303655,4.8348606937076966,0.8360320605404896
0.002,DATA_07_TYPE02,training,3.1266471141563823,6.139614082249051,2.612457635967558,0.940579193989364
0.002,DATA_08_TYPE02,training,3.1166815209960936,4.103534055428071,2.723010959025868,0.9698244161893468
0.002,DATA_09_TYPE02,training,2.4188539953859065,2.5673860838242817,2.135740579116066,0.9878547775689432
0.002,DATA_10_TYPE02,training,11.379804915583051,15.22807340707531,7.256193668115301,0.7027563026473204
0.002,DATA_11_TYPE02,training,4.132539944820804,7.434448744120616,2.949634877963008,0.9009569429502609
0.002,DATA_12_TYPE02,training,2.025012858518836,1.2392008375827746,1.446827725264719,0.9943608095032456
0.002,TEST_S01_T01,competition,12.515183497469192,12.478009979616594,17.289032464088965,0.4245765088386843
0.002,TEST_S02_T01,competition,9.299606452440694,12.545040433957585,12.50627105053476,0.5816226705602361
0.002,TEST_S02_T02,competition,7.828719468858505,12.032434685171484,7.694043350511176,0.6415233395447756
0.002,TEST_S03_T02,competition,18.83298578844572,19.22717897974426,11.695612655322108,0.3970716595920843
0.002,TEST_S04_T02,competition,4.197623530321783,3.3907129915354615,3.419925342157183,0.9133960616787202
0.002,TEST_S05_T02,competition,10.991130287121814,13.865735672333171,8.014745733424656,0.3148169942128354
0.002,TEST_S06_T01,competition,5.74082060842803,7.261465863155523,6.495828734767849,0.8330869927518059
0.002,TEST_S06_T02,competition,15.221536022777292,19.039416920050517,10.223780090827754,0.0559420252229649
0.002,TEST_S07_T02,competition,4.499822475464877,4.255010986878507,3.5161421148052954,0.8478851864606907
0.002,TEST_S08_T01,competition,1.6251074804687504,1.5590881782108477,1.890326289764743,0.829409955630722
0.005,DATA_01_TYPE01,training,5.695698888365063,9.092958470623154,4.5780822595310875,0.9364522675724942
0.005,DATA_02_TYPE02,training,2.7489829626044253,2.431000677544706,2.373344280163721,0.9872921287676584
0.005,DATA_03_TYPE02,training,2.7225689453125006,2.457416005813918,2.263216598900557,0.9870252284109206
0.005,DATA_04_TYPE02,training,5.190839715325343,8.736357848681658,4.480263684745449,0.9116059385294648
0.005,DATA_05_TYPE02,training,2.8066670697773977,3.287629288139598,2.169335385761,0.9768086758283002
0.005,DATA_06_TYPE02,training,6.1555890390625,12.969228832183203,5.273102022803032,0.8246920107487805
0.005,DATA_07_TYPE02,training,3.064793372911953,5.31392370332045,2.2864160623392027,0.9572000323222016
0.005,DATA_08_TYPE02,training,2.9376847045898433,3.4652790580010917,2.5567365981471517,0.9754155252645484
0.005,DATA_09_TYPE02,training,2.44622310192953,2.5339353325175704,2.1771497115803236,0.9879345375155786
0.005,DATA_10_TYPE02,training,10.09882702128775,13.305407266088606,6.330785051866635,0.6986261450903503
0.005,DATA_11_TYPE02,training,2.4780178157779713,3.89926561053753,1.7433230883079889,0.9706846355462164
0.005,DATA_12_TYPE02,training,2.2924583315496574,1.5502533165656291,1.661816687499278,0.9930699597936418
0.005,TEST_S01_T01,competition,14.793991210937495,13.372866905150914,20.225780975791725,0.3357781699899561
0.005,TEST_S02_T01,competition,11.003255346145076,13.648149472303468,15.05925924071943,0.4813566127701914
0.005,TEST_S02_T02,competition,8.71826702202691,12.149497433883228,8.150361061216232,0.6142529596784307
0.005,TEST_S03_T02,competition,16.251300858347037,15.162991462536636,10.114012250361784,0.518474052172157
0.005,TEST_S04_T02,competition,3.7636967821782186,2.925765583389446,3.0766265017044536,0.937129814894615
0.005,TEST_S05_T02,competition,8.88414755423965,12.53433865297736,6.509856851867663,0.4079174200333054
0.005,TEST_S06_T01,competition,7.143940340909091,10.190246722311596,8.469981668014883,0.7016191984147749
0.005,TEST_S06_T02,competition,11.469835277288734,15.960128041765982,7.815113579708616,0.3431942596484691
0.005,TEST_S07_T02,competition,4.748258668001035,4.92849762763629,3.686909504849814,0.7886588457353852
0.005,TEST_S08_T01,competition,1.4434271484375,1.4163374347603712,1.6658787222165206,0.8460881554635703
0.01,DATA_01_TYPE01,training,5.563432110547186,8.979673185289522,4.81996137865646,0.9392031952183644
0.01,DATA_02_TYPE02,training,2.6601995276219736,2.205625693805991,2.3191207742369744,0.9872699202393668
0.01,DATA_03_TYPE02,training,3.115830901227679,4.124652569527857,2.655046165500076,0.9700718315495696
0.01,DATA_04_TYPE02,training,4.368834645226884,7.27660414565937,4.02546617918278,0.9362984508694528
0.01,DATA_05_TYPE02,training,3.0493543236301375,4.194956782804567,2.4250588170757896,0.9737787589434098
0.01,DATA_06_TYPE02,training,6.788423434895834,10.922451767840895,6.271514982915906,0.8525616750769364
0.01,DATA_07_TYPE02,training,3.6938018354644018,6.300019683668626,2.836739705127039,0.9504117546288502
0.01,DATA_08_TYPE02,training,2.8084548388671875,2.8198678626545575,2.442631988071572,0.9806476584828058
0.01,DATA_09_TYPE02,training,2.487146424077181,2.7366849056381133,2.2360949305650295,0.9867359537296037
0.01,DATA_10_TYPE02,training,11.437094900901846,15.61148294906694,7.037805024355791,0.5707111316692272
0.01,DATA_11_TYPE02,training,2.868321355987762,5.930992963860736,2.0259863779337572,0.9491740586873226
0.01,DATA_12_TYPE02,training,2.2806846264982874,1.5565789041823168,1.6580237857963265,0.9930824144416184
0.01,TEST_S01_T01,competition,15.836049089458628,14.326621209755872,21.597139395371546,0.2586612461856375
0.01,TEST_S02_T01,competition,14.517755346145076,16.392628505869578,20.04234383756726,0.3374050202940648
0.01,TEST_S02_T02,competition,6.961849134657117,9.915003995154576,6.199076814936643,0.7632319569206569
